#"Step","Potential Energy (kJ/mole)","Temperature (K)","Harmonic Bond Energy (kJ/mol)","Harmonic Angle Energy (kJ/mol)","Periodic Torsion Energy (kJ/mol)","LJ 12-10 Contact Energy (kJ/mol)","Double Gaussian Contact Energy (kJ/mol)","LJ 12 Repulsion Energy (kJ/mol)"
42000,-313.32900619506836,119.77555612923774,80.10610961914062,89.02825927734375,40.218048095703125,-387.7411460876465,-134.9788360595703,0.03856734558939934
44000,-290.5499382019043,117.01887558110964,101.36185455322266,98.50536346435547,36.257904052734375,-386.9555473327637,-139.7533721923828,0.03385027498006821
46000,-331.79117012023926,119.42304706774053,103.267578125,72.52848815917969,31.412498474121094,-398.694673538208,-140.33004760742188,0.025006625801324844
48000,-282.37726974487305,126.03496173639105,125.95037841796875,84.2066879272461,38.955039978027344,-387.2157402038574,-144.2963104248047,0.022694172337651253
50000,-321.2572441101074,129.05905703755155,104.97203063964844,92.26236724853516,27.280521392822266,-404.6031608581543,-141.2056121826172,0.03656284138560295
52000,-272.3875160217285,121.17918914857513,121.82173919677734,81.72573852539062,36.582847595214844,-372.431095123291,-140.131591796875,0.04485629126429558
54000,-283.80581283569336,143.22181665429224,123.17436218261719,76.91873168945312,42.37370300292969,-383.08324813842773,-143.21083068847656,0.021438177675008774
56000,-306.1640853881836,136.9461857281774,128.99993896484375,75.23615264892578,36.65202331542969,-405.84130096435547,-141.24537658691406,0.03447255119681358
58000,-271.348690032959,119.3589804982258,116.7535629272461,92.28292083740234,35.78337097167969,-379.9692039489746,-136.22821044921875,0.02887871488928795
60000,-350.26882553100586,123.19961297511622,106.67462921142578,78.76124572753906,32.64692687988281,-425.4013328552246,-142.98464965820312,0.03434617444872856
62000,-304.6664237976074,129.2837073840187,96.75048065185547,97.66154479980469,44.39741897583008,-403.8466911315918,-139.6764373779297,0.047261305153369904
64000,-303.1811180114746,130.46389066188607,112.28070068359375,73.1951904296875,43.96845245361328,-393.0458641052246,-139.61241149902344,0.032810963690280914
66000,-298.2674102783203,131.02668854721784,122.38507080078125,88.54664611816406,31.343799591064453,-395.92457580566406,-144.65713500976562,0.03877823427319527
68000,-256.7427749633789,132.8493441448947,110.41015625,102.5779800415039,59.53453826904297,-391.86092376708984,-137.43814086914062,0.033601995557546616
70000,-248.72614097595215,123.4946416430831,133.44155883789062,95.977783203125,49.29174041748047,-386.7489070892334,-140.71112060546875,0.022819941863417625
72000,-282.75558280944824,121.82290781071497,100.21711730957031,96.20632934570312,49.41151809692383,-387.443021774292,-141.16647338867188,0.018970564007759094
74000,-296.3568420410156,125.00299028683878,110.69498443603516,89.00921630859375,48.166603088378906,-399.2467956542969,-145.00946044921875,0.028618324548006058
76000,-334.62799072265625,125.67554633757688,95.97148132324219,73.6128158569336,41.47822952270508,-404.80194091796875,-140.95388793945312,0.06533433496952057
78000,-322.65311431884766,131.6257561377969,106.36283874511719,74.17105865478516,36.49598693847656,-397.2218704223633,-142.47891235351562,0.017798496410250664
80000,-297.86115646362305,137.16769163298534,112.04020690917969,81.88418579101562,44.45158386230469,-393.95795822143555,-142.315673828125,0.0365297757089138
82000,-286.11339950561523,128.91113106756907,120.62318420410156,91.33767700195312,43.00354766845703,-403.61034774780273,-137.49386596679688,0.02637617290019989
84000,-272.82649993896484,123.20675943343261,122.48907470703125,84.8837890625,52.86341094970703,-394.8237991333008,-138.2540283203125,0.01507127471268177
86000,-289.8626403808594,120.13225015672504,119.11088562011719,92.46534729003906,52.37952423095703,-409.2483825683594,-144.642333984375,0.07232607901096344
88000,-290.80595779418945,122.92779600376095,128.0269012451172,84.73553466796875,47.014923095703125,-408.9644966125488,-141.6451416015625,0.026334349066019058
90000,-299.84190940856934,121.00275738566027,105.22151184082031,85.92017364501953,47.1759033203125,-398.33739280700684,-139.86090087890625,0.03881439194083214
92000,-288.8308753967285,120.97453745106054,115.4219970703125,86.76759338378906,52.87716293334961,-404.04990005493164,-139.87118530273438,0.0234939344227314
94000,-298.0116767883301,115.42310002489465,111.24404907226562,102.6676254272461,43.62468719482422,-417.29094314575195,-138.2800750732422,0.022978320717811584
96000,-299.40716552734375,130.04034008755735,98.89573669433594,100.96096801757812,50.264610290527344,-406.5588684082031,-142.99517822265625,0.02555527165532112
98000,-285.88117027282715,124.01979770317082,123.06825256347656,84.97227478027344,46.62433624267578,-400.1891231536865,-140.40243530273438,0.0455356240272522
100000,-275.7362117767334,130.5864667149287,108.81607818603516,109.98621368408203,43.346412658691406,-396.0011348724365,-141.9031219482422,0.019355224445462227
102000,-267.4769687652588,126.2675360758394,114.31271362304688,98.15128326416016,59.166873931884766,-399.2980899810791,-139.9402618408203,0.13051475584506989
104000,-303.4705047607422,139.08676152910016,95.33522033691406,79.998779296875,46.35401153564453,-392.9551544189453,-132.23988342285156,0.036508895456790924
106000,-308.2995376586914,123.25369737165461,95.36931610107422,86.64964294433594,40.55485534667969,-392.47159576416016,-138.49862670898438,0.09688349813222885
108000,-302.9039554595947,130.07124709048406,106.4637451171875,86.09825897216797,44.16061019897461,-397.0011234283447,-142.68458557128906,0.05912370979785919
110000,-294.6659164428711,135.4467787330672,110.00741577148438,88.59310150146484,38.983917236328125,-396.37499237060547,-135.90365600585938,0.028283728286623955
112000,-306.11559295654297,122.16979118022552,113.88922882080078,80.96334838867188,40.428138732910156,-400.22484588623047,-141.19651794433594,0.025100452825427055
114000,-300.09607696533203,126.93410053592505,116.24156188964844,79.14410400390625,39.70273971557617,-393.94303131103516,-141.2724609375,0.03101455420255661
116000,-290.1646213531494,126.6623407362363,112.12164306640625,88.61322021484375,46.843109130859375,-397.3898410797119,-140.416748046875,0.06402900815010071
118000,-307.13357162475586,126.80376057056755,126.68482971191406,80.1903076171875,39.230133056640625,-413.9301414489746,-139.35862731933594,0.04991398751735687
120000,-310.10768127441406,125.17608322442823,124.09922790527344,81.15843200683594,42.699623107910156,-410.89903259277344,-147.19175720214844,0.025808624923229218
122000,-339.4882354736328,127.2527868395025,100.42731475830078,84.880126953125,34.60508728027344,-411.9419403076172,-147.48301696777344,0.024199381470680237
124000,-304.73612785339355,126.1885477013601,103.22889709472656,92.54399108886719,47.1717643737793,-404.05412101745605,-143.66175842285156,0.03515712544322014
126000,-280.2848930358887,130.06791969949194,122.70655059814453,90.29969787597656,46.3875732421875,-394.2796440124512,-145.42355346679688,0.02448679879307747
128000,-277.2086410522461,117.1331045708387,99.69871520996094,84.97976684570312,63.130287170410156,-383.3785629272461,-141.6815643310547,0.04274490475654602
130000,-325.9096450805664,127.20389363028514,96.28707122802734,83.5486831665039,37.574745178222656,-407.1244888305664,-136.21710205078125,0.021472502499818802
132000,-305.43134117126465,115.68470613660749,106.8566665649414,86.3676986694336,39.52949905395508,-394.5970821380615,-143.6151123046875,0.026964180171489716
134000,-301.7657947540283,129.41033119105168,114.82093811035156,85.218994140625,44.5106201171875,-406.6357593536377,-139.69895935058594,0.01837349124252796
136000,-337.53329849243164,128.2714029877531,97.37818145751953,86.42475891113281,39.97775650024414,-420.96081924438477,-140.3834686279297,0.03029440902173519
138000,-321.0276927947998,108.48829121801,108.45467376708984,81.45769500732422,38.884422302246094,-410.55531120300293,-139.30088806152344,0.03169570863246918
140000,-303.1539421081543,110.17551857200806,97.13726806640625,94.6130599975586,49.867706298828125,-403.3228569030762,-141.4828643798828,0.03373865783214569
142000,-287.5874900817871,110.95396798349499,99.84623718261719,79.1705322265625,59.45186233520508,-385.4561424255371,-140.64788818359375,0.04791231453418732
144000,-341.6013832092285,120.31523379262435,93.94459533691406,87.75469970703125,32.487754821777344,-412.34082412719727,-143.5191192626953,0.07148067653179169
146000,-308.0432186126709,120.18774097626007,101.65902709960938,78.93864440917969,45.92518615722656,-395.7828121185303,-138.80746459960938,0.024226192384958267
148000,-296.03509521484375,117.21982255463303,108.14202117919922,83.33953857421875,44.35828399658203,-395.5884704589844,-136.304443359375,0.01798437163233757
150000,-310.5525360107422,128.51685238650427,96.91683959960938,74.29051208496094,51.45672607421875,-392.45530700683594,-140.781005859375,0.019697191193699837
152000,-275.9573383331299,122.72721492890338,109.76976013183594,101.948974609375,50.20545959472656,-394.26123237609863,-143.64329528808594,0.022988006472587585
154000,-275.72826385498047,124.40042379026801,109.51659393310547,104.95989990234375,50.50840759277344,-398.0728225708008,-142.68667602539062,0.04633447527885437
156000,-286.6577491760254,124.45835012279728,111.50325775146484,84.21058654785156,56.033695220947266,-396.25693130493164,-142.21432495117188,0.06598249077796936
158000,-276.3928623199463,116.05233138673552,123.52946472167969,98.86073303222656,42.978519439697266,-400.1535587310791,-141.63169860839844,0.02367420494556427
160000,-281.8737678527832,119.64154574288894,112.62141418457031,94.67239379882812,45.62321472167969,-392.58525466918945,-142.2473602294922,0.04182308167219162
162000,-332.1295528411865,124.23057820333753,113.71219635009766,82.35441589355469,35.942787170410156,-423.6884822845459,-140.4794921875,0.02903616614639759
164000,-327.2327651977539,126.00902866845257,110.21138763427734,80.94220733642578,45.13300323486328,-421.0914993286133,-142.46099853515625,0.03312958776950836
166000,-264.3088912963867,128.6822157147787,129.34429931640625,94.43019104003906,49.84073257446289,-392.03047943115234,-145.911865234375,0.018197719007730484
168000,-300.5502700805664,145.01642383236893,119.29592895507812,91.9209976196289,40.83179473876953,-414.7192153930664,-137.9013671875,0.021603813394904137
170000,-291.8627395629883,135.1990310333215,102.37622833251953,79.76896667480469,58.770652770996094,-395.60697174072266,-137.2140655517578,0.042472392320632935
172000,-275.92004776000977,127.34004223696222,109.53794860839844,90.61512756347656,43.292449951171875,-383.4334297180176,-135.95152282714844,0.019395677372813225
174000,-283.0496120452881,132.08740591070193,105.04849243164062,80.93161010742188,55.04570770263672,-384.48354148864746,-139.6256103515625,0.03376331180334091
176000,-280.01385498046875,123.81757008431715,107.27717590332031,91.90579223632812,41.246124267578125,-378.16717529296875,-142.3155517578125,0.03978303447365761
178000,-295.3865509033203,129.6729778270954,102.72010803222656,99.69412231445312,41.256229400634766,-394.5715789794922,-144.50204467773438,0.01661497913300991
180000,-279.8429870605469,124.88160340446004,120.63394165039062,93.6004638671875,46.226444244384766,-399.8011779785156,-140.6174774169922,0.1148255243897438
182000,-308.8823299407959,127.9242794972431,105.54512023925781,78.13921356201172,47.41392517089844,-397.3404903411865,-142.6763916015625,0.03631242364645004
184000,-289.9787769317627,121.29369256230353,123.97319030761719,78.27354431152344,54.533687591552734,-406.6523609161377,-140.15283203125,0.046009186655282974
186000,-278.591609954834,114.26200064931534,122.22047424316406,88.94949340820312,46.956787109375,-392.6570701599121,-144.1299591064453,0.06866196542978287
188000,-311.1668128967285,130.4208975686547,97.00238800048828,80.90425109863281,51.858131408691406,-397.42041397094727,-143.53839111328125,0.027234099805355072
190000,-297.10581970214844,131.6189184064798,126.92339324951172,94.93634796142578,39.11528396606445,-413.1206512451172,-144.98306274414062,0.02288345992565155
192000,-307.9262390136719,130.336740875521,110.14372253417969,76.24361419677734,35.055511474609375,-388.220947265625,-141.1956787109375,0.04752839356660843
194000,-295.3016891479492,117.25279917188813,111.42877197265625,96.40699768066406,40.6187744140625,-400.10594940185547,-143.67050170898438,0.020189328119158745
196000,-305.3773956298828,132.1941111091155,112.1781997680664,83.56830596923828,41.96381378173828,-401.75209045410156,-141.36038208007812,0.02474953979253769
198000,-256.8440361022949,135.79274735591324,119.23207092285156,93.18873596191406,52.42982482910156,-392.4194450378418,-129.32037353515625,0.045154742896556854
200000,-306.86599922180176,125.11925458789635,108.64907836914062,80.76349639892578,39.02825927734375,-395.24710273742676,-140.07669067382812,0.016966562718153
202000,-276.79057693481445,125.15355758781499,108.24998474121094,82.74221801757812,50.25794219970703,-376.74435806274414,-141.3263397216797,0.029990896582603455
204000,-269.7262878417969,114.20884243377476,107.64037322998047,86.50918579101562,47.63734436035156,-376.829833984375,-134.7208251953125,0.03747768700122833
206000,-301.61048698425293,132.07219824740469,103.11434936523438,77.38396453857422,51.80071258544922,-391.3761730194092,-142.61444091796875,0.08108899742364883
208000,-271.69192123413086,124.98341470821856,116.7272720336914,82.96898651123047,48.66715621948242,-386.3005790710449,-133.79360961914062,0.03884948417544365
210000,-301.65344429016113,119.5759469727112,106.59959411621094,92.74129486083984,44.38353729248047,-400.31945991516113,-145.0819091796875,0.0235269945114851
212000,-288.6213569641113,118.74975921967082,114.49681091308594,86.2773208618164,48.92157745361328,-396.88518142700195,-141.46884155273438,0.03694341704249382
214000,-299.8692169189453,133.8313475578988,102.84656524658203,91.61729431152344,47.290283203125,-397.41566467285156,-144.2258758544922,0.018206946551799774
216000,-294.8090019226074,126.0849069042726,115.66902160644531,103.4085922241211,44.016754150390625,-413.69233322143555,-144.2381591796875,0.02712705358862877
218000,-308.13864517211914,127.98728267376036,110.1783447265625,81.34089660644531,42.3818244934082,-402.93735122680664,-139.14852905273438,0.04618951678276062
220000,-318.6163330078125,130.47946422384916,126.46793365478516,78.66338348388672,45.14773941040039,-426.8722839355469,-142.07704162597656,0.05393264442682266
222000,-287.1376953125,122.60109423253584,107.36813354492188,87.66799926757812,45.322601318359375,-391.68994140625,-135.82508850097656,0.01858358457684517
224000,-302.4776077270508,125.68048596956515,127.08771514892578,82.9422836303711,36.74763870239258,-404.0745620727539,-145.2264862060547,0.04579339548945427
226000,-311.99402618408203,116.1288728138873,97.55997467041016,104.71441650390625,41.11848449707031,-407.75159454345703,-147.65492248535156,0.019584830850362778
228000,-302.00268745422363,128.1119169067981,110.39849090576172,86.43962097167969,40.63780212402344,-401.6152057647705,-137.91641235351562,0.053022630512714386
230000,-297.26669692993164,131.1027726010374,101.38872528076172,90.41683197021484,46.0013427734375,-396.1136817932129,-138.98782348632812,0.027940940111875534
232000,-274.02442169189453,120.67010976111595,110.89769744873047,96.38068389892578,49.65718078613281,-392.39722442626953,-138.59727478027344,0.034506700932979584
234000,-286.267032623291,125.49952621066105,112.85482788085938,75.30110931396484,48.07627868652344,-380.03174209594727,-142.4872283935547,0.01971021294593811
236000,-306.3737201690674,133.07636139835625,98.8399887084961,97.69638061523438,37.805824279785156,-398.64074897766113,-142.1062469482422,0.031077634543180466
238000,-305.3673210144043,117.71823370911751,105.43162536621094,86.58714294433594,41.21100997924805,-396.9692497253418,-141.6846923828125,0.056839488446712494
240000,-323.416109085083,135.89639958733403,99.61454772949219,87.77024841308594,33.4700927734375,-405.0435199737549,-139.2515411376953,0.024051589891314507
242000,-327.89405822753906,106.50598945871181,102.84332275390625,67.21873474121094,41.579978942871094,-397.78858947753906,-141.76702880859375,0.019529659301042557
244000,-329.512638092041,129.61720114922767,91.738525390625,75.5345687866211,52.598716735839844,-405.7455177307129,-143.6769256591797,0.037982624024152756
246000,-345.86304092407227,116.76192324305244,103.08729553222656,66.42904663085938,42.84211349487305,-414.46457290649414,-143.78762817382812,0.0306907556951046
248000,-323.11224365234375,117.659701356923,95.95796203613281,90.37560272216797,38.664825439453125,-406.32562255859375,-141.84872436523438,0.06371914595365524
250000,-301.1604118347168,118.53172935218798,113.90281677246094,87.52668762207031,42.96371841430664,-408.8248405456543,-136.7640380859375,0.03525955602526665
252000,-301.5416603088379,126.43432869577714,96.02983093261719,91.74710845947266,42.017127990722656,-390.60226821899414,-140.77767944335938,0.04423882067203522
254000,-294.38999938964844,122.21010863946323,102.20024871826172,92.56048583984375,46.373756408691406,-389.79771423339844,-145.76040649414062,0.03360451012849808
256000,-319.4427261352539,127.82920301580198,107.88802337646484,86.66035461425781,32.80622100830078,-406.54691314697266,-140.2824249267578,0.03200584650039673
258000,-295.82239723205566,122.91816829511711,107.4012222290039,82.38282775878906,41.747802734375,-389.5239963531494,-137.87391662597656,0.04366187006235123
260000,-305.3529243469238,130.5795375089451,111.20101928710938,76.92730712890625,38.31816864013672,-387.82158279418945,-144.00546264648438,0.02761012502014637
262000,-286.93630599975586,126.78794688760506,121.40910339355469,90.45260620117188,39.641075134277344,-395.2641410827637,-143.1973419189453,0.022407110780477524
264000,-302.61978912353516,125.77231510034737,107.08453369140625,92.86701965332031,47.9135856628418,-409.8744583129883,-140.68801879882812,0.07757358998060226
266000,-295.6133804321289,134.84966641348345,113.71760559082031,86.94795227050781,36.58235168457031,-393.35819244384766,-139.51744079589844,0.014335625804960728
268000,-329.3585739135742,131.74357550818414,95.08137512207031,83.19140625,36.88678741455078,-400.1753158569336,-144.37611389160156,0.03330354019999504
270000,-280.23296546936035,117.80090393892141,108.62055969238281,106.84577941894531,45.470787048339844,-401.4522953033447,-139.7433319091797,0.025553949177265167
272000,-265.4753875732422,123.11880654164122,120.55585479736328,88.11033630371094,46.08422088623047,-378.7229461669922,-141.5301513671875,0.027311500161886215
274000,-316.75270080566406,136.3115459266827,99.48222351074219,88.50567626953125,35.491275787353516,-398.3372344970703,-141.9136962890625,0.019082002341747284
276000,-273.4164352416992,126.94957118888836,105.25532531738281,78.85497283935547,50.65568542480469,-367.23975372314453,-140.98085021972656,0.0381833016872406
278000,-301.3905487060547,123.34163882911268,114.08592224121094,90.0369873046875,39.735923767089844,-400.0955047607422,-145.19683837890625,0.042956359684467316
280000,-291.50800704956055,129.32772956724762,111.14140319824219,88.40277099609375,42.70214080810547,-390.8993339538574,-142.8800048828125,0.02501342073082924
282000,-264.5189743041992,123.54388931663296,94.40568542480469,108.83488464355469,50.07655334472656,-376.5401840209961,-141.32772827148438,0.03181487321853638
284000,-287.2383728027344,119.61821970294426,93.86919403076172,95.7093505859375,48.224327087402344,-384.3783264160156,-140.710693359375,0.0477902889251709
286000,-310.81602668762207,112.25000392642093,97.75450897216797,83.92779541015625,41.11756134033203,-388.7224292755127,-144.91793823242188,0.02452043443918228
288000,-275.8132209777832,124.06123572707253,102.1712417602539,89.41053771972656,40.54839324951172,-368.70097732543945,-139.2604217529297,0.01797620579600334
290000,-245.98922729492188,119.63353027524127,101.80766296386719,96.89338684082031,57.38856506347656,-363.5190887451172,-138.70693969726562,0.14715725183486938
292000,-265.2941265106201,115.6490195823588,105.83555603027344,85.64768981933594,58.84058380126953,-374.5400218963623,-141.25161743164062,0.17369332909584045
294000,-240.56540870666504,119.21250668857324,103.25505828857422,101.80055236816406,60.2526969909668,-364.00205421447754,-142.1027069091797,0.23105984926223755
296000,-242.42678833007812,125.5325256965828,115.37185668945312,96.83110809326172,49.286312103271484,-371.6421813964844,-132.3040008544922,0.030090132728219032
298000,-260.97434997558594,120.77872449319166,93.32575225830078,106.34164428710938,52.783660888671875,-375.13404846191406,-138.3440399169922,0.052651435136795044
300000,-278.26054763793945,132.1197422052919,112.53837585449219,80.76309204101562,53.09089660644531,-382.29375076293945,-142.38742065429688,0.02827279269695282
302000,-250.99965286254883,122.54019497334697,125.62258911132812,85.4443359375,48.205474853515625,-375.4494514465332,-134.83555603027344,0.012922416441142559
304000,-305.2209053039551,128.84796781038554,95.5141372680664,86.64009094238281,48.112022399902344,-391.90300369262695,-143.60028076171875,0.016120264306664467
306000,-326.6134281158447,116.61047549841166,96.79638671875,80.5059814453125,34.51231384277344,-394.46575355529785,-143.977294921875,0.01493722852319479
308000,-298.0361576080322,121.73645281658668,118.41837310791016,69.9461441040039,35.125526428222656,-377.6467533111572,-143.90353393554688,0.02404944971203804
310000,-275.4077606201172,116.19029805240828,109.14128112792969,100.55418395996094,41.12128448486328,-380.76661682128906,-145.4805908203125,0.022691557183861732
312000,-318.3643455505371,122.33768149616063,103.2259292602539,88.00405883789062,34.81685256958008,-400.82287216186523,-143.6378631591797,0.0495452918112278
314000,-262.3914089202881,130.15054419196264,117.01130676269531,90.89910888671875,50.0382194519043,-378.35228538513184,-142.0203399658203,0.03257431089878082
316000,-243.28774452209473,126.2505446565464,108.80397033691406,102.04876708984375,54.864105224609375,-369.81719398498535,-139.2071533203125,0.01977578178048134
318000,-279.2796859741211,139.23162309775657,109.40764617919922,94.788330078125,39.02324676513672,-381.62410736083984,-140.8992156982422,0.02442140504717827
320000,-300.8799133300781,131.92264860209272,107.755126953125,79.28024291992188,41.04494094848633,-388.5161437988281,-140.4728240966797,0.02873518317937851
322000,-289.6034450531006,120.33334577658138,118.08960723876953,78.95157623291016,34.819183349609375,-382.22765159606934,-139.25341796875,0.017265288159251213
324000,-272.71032333374023,124.5123316103359,111.9273452758789,86.53927612304688,42.313438415527344,-373.25902938842773,-140.26174926757812,0.030419401824474335
326000,-310.5383548736572,123.08542972272038,87.6224594116211,83.42155456542969,45.31452941894531,-385.9038333892822,-141.022216796875,0.02914915420114994
328000,-285.6566467285156,116.87322504345511,107.310791015625,95.48922729492188,36.991424560546875,-380.2815856933594,-145.18045043945312,0.013912154361605644
330000,-311.88856315612793,124.95518333928551,97.94923400878906,74.80160522460938,50.412654876708984,-392.56739616394043,-142.50296020507812,0.018312327563762665
332000,-346.45507621765137,131.69044016131016,95.9544677734375,66.94380950927734,34.436546325683594,-397.2496929168701,-146.5592498779297,0.019029811024665833
334000,-299.33796310424805,118.77044392862176,114.23053741455078,90.25518035888672,37.57123565673828,-396.7513542175293,-144.66668701171875,0.023097073659300804
336000,-291.5037307739258,135.63542236395307,110.80530548095703,80.79774475097656,42.81041717529297,-385.3734817504883,-140.56777954101562,0.024075133726000786
338000,-302.16548919677734,135.2688605068225,101.64108276367188,89.11477661132812,37.58039855957031,-389.7350082397461,-140.80059814453125,0.03385114297270775
340000,-289.1789741516113,119.4473107230163,120.2323989868164,78.62761688232422,39.61103057861328,-387.1880989074707,-140.4853973388672,0.023481158539652824
342000,-274.695650100708,117.26799540085209,113.88873291015625,85.853515625,50.141761779785156,-384.37561225891113,-140.21878051757812,0.0147506482899189
344000,-298.5698585510254,129.08294335982822,116.44159698486328,73.518798828125,40.18267822265625,-388.6479835510254,-140.0843048095703,0.019340595230460167
346000,-264.376163482666,117.624712297006,116.43875122070312,91.59043884277344,54.489620208740234,-384.7118721008301,-142.1982421875,0.01514107920229435
348000,-279.39105796813965,137.59342616497554,99.70729064941406,92.16004180908203,48.65467834472656,-378.0117244720459,-141.9347381591797,0.03340531885623932
350000,-235.1916675567627,131.5826601355658,124.54461669921875,101.66902160644531,53.97551345825195,-376.63963508605957,-138.76358032226562,0.02241051383316517
352000,-277.66650199890137,129.56766761734517,109.09774780273438,83.67668151855469,42.354976654052734,-375.25228691101074,-137.567138671875,0.023550700396299362
354000,-317.8666229248047,110.54692858646045,99.7828369140625,79.47068786621094,44.668922424316406,-398.4071502685547,-143.41351318359375,0.03161272779107094
356000,-323.06128311157227,123.02118020387277,101.11241912841797,92.37796783447266,38.62357711791992,-413.6799659729004,-141.51095581054688,0.01566789299249649
358000,-311.73321533203125,110.30895724169156,98.4841537475586,78.96998596191406,39.81346893310547,-393.4259948730469,-135.59518432617188,0.020346984267234802
360000,-338.7942085266113,123.6794433379781,89.27982330322266,85.38933563232422,32.37049865722656,-404.7548408508301,-141.10809326171875,0.029051579535007477
362000,-273.7690849304199,113.07297863180224,109.45207214355469,89.13871765136719,43.8955078125,-374.8191032409668,-141.46438598632812,0.02812545746564865
364000,-301.9402503967285,132.21133121507467,107.2095947265625,89.86225891113281,42.119598388671875,-399.709415435791,-141.43930053710938,0.017012175172567368
366000,-292.6516456604004,109.02376104673992,114.57131958007812,81.72614288330078,46.869693756103516,-397.03564834594727,-138.80111694335938,0.017949745059013367
368000,-310.8822269439697,116.12965034855213,92.42860412597656,78.1155014038086,52.476932525634766,-393.7757816314697,-140.15347290039062,0.02600499428808689
370000,-315.6389923095703,125.2623209662237,101.97505187988281,83.00418090820312,42.1494140625,-397.9386749267578,-144.86672973632812,0.03778885677456856
372000,-334.8805236816406,125.85585433948255,95.37638854980469,83.26691436767578,35.603763580322266,-409.813232421875,-139.35284423828125,0.0384797602891922
374000,-298.2625255584717,111.81608241178348,111.83950805664062,84.51068878173828,42.23453140258789,-397.6717357635498,-139.2164306640625,0.04093586653470993
376000,-326.5735740661621,121.04522449955954,107.53649139404297,66.48500061035156,39.64345169067383,-397.24050521850586,-143.03555297851562,0.03753374516963959
378000,-345.5314483642578,130.74661598721548,93.0401611328125,71.45763397216797,38.38883972167969,-405.47886657714844,-143.02301025390625,0.08377455919981003
380000,-295.9871635437012,133.42699522919125,122.81044006347656,96.72798156738281,35.16878128051758,-414.1149101257324,-136.60775756835938,0.02830391563475132
382000,-243.48727416992188,122.7121787806057,112.14459228515625,105.4464340209961,59.87187957763672,-383.6885681152344,-137.29910278320312,0.03749658167362213
384000,-261.9702682495117,113.76480153416131,110.55579376220703,105.6635971069336,48.19086456298828,-389.1913375854492,-137.21826171875,0.029080426320433617
386000,-297.93631744384766,122.01718856792081,124.86397552490234,85.50602722167969,34.015113830566406,-400.4288101196289,-141.92214965820312,0.029521338641643524
